[500, 1500, 500.0, 500.0, 500.0, 500.2442002442003, 500.2442002442003, 500.2442002442003, 500.2442002442003, 500.2442002442003, 501.22100122100125, 501.22100122100125, 501.22100122100125, 501.22100122100125, 501.22100122100125, 501.22100122100125, 501.46520146520146, 501.46520146520146, 501.95360195360195, 501.95360195360195, 502.1978021978022, 502.1978021978022];[1, 1000, 414.01758241758245, 673.3428571428572, 434.9978021978022, 72.72307692307692, 960.967032967033, 960.967032967033, 970.2373626373626, 499.6461538461538, 164.6945054945055, 738.723076923077, 710.4241758241758, 240.56483516483516, 252.27472527472528, 490.37582417582416, 68.33186813186813, 243.0043956043956, 127.61318681318681, 390.5978021978022, 989.7538461538461, 863.3846153846154];[0, 1000, 760.4395604395604, 509.4017094017094, 512.5763125763126, 391.45299145299145, 667.6434676434676, 665.6898656898657, 86.93528693528694, 514.2857142857143, 328.44932844932845, 181.6849816849817, 201.7094017094017, 342.36874236874235, 312.5763125763126, 32.72283272283272, 534.7985347985348, 861.5384615384615, 787.7899877899878, 808.3028083028083, 117.21611721611721, 232.23443223443223]
[475.98901098901104, 514.2582417582418, 495.1247943291525, 495.164504817041, 495.1878639275636, 495.20655121598173, 495.2287487875328, 495.24626170387023, 495.24626170387023, 495.29297992491547, 495.3607213454311, 495.386416367006, 495.4191191217377, 495.4191191217377, 495.4191191217377, 495.4331345880513, 495.4424782322603, 495.4518218764694, 495.46116552067843, 495.46116552067843, 495.4821887201488, 495.4834225603457];[22.260769230769228, 1035.824945054945, 654.903024030914, 772.4715181741335, 344.76971211206376, 369.02594879845424, 25.230920661755825, 710.3458507426639, 599.7077099384131, 968.7490252384977, 437.091919091897, 105.92003453689166, 228.68629368433758, 676.189109286318, 196.7571658012317, 419.2710105059774, 285.1191708730829, 510.8506796280642, 924.9392916314454, 921.9691402004587, 60.3777125950972, 416.30085907499085];[-8.717948717948723, 902.9792429792429, 498.00312779067355, 367.0927618033845, 714.1833410111798, 213.25081810063494, 453.9210657745456, 491.1013908083505, 484.19965382602743, 184.97596014079528, 54.5108675072045, 453.4757924208473, 823.0526759904049, 246.6463196280046, 243.0841327984185, 839.9730634309389, 242.4162227678711, 203.90007767297143, 654.5167116156126, 461.71334946426515, 638.2642342056262, 763.3860465948378]
[475.98901098901104, 514.2582417582418, 495.1247943291525, 495.139978749123, 495.164504817041, 495.1656804733728, 495.1773556074008, 495.1878639275636, 495.2030618953696, 495.20655121598173, 495.22523850439984, 495.2287487875328, 495.24626170387023, 495.24626170387023, 495.25326943702703, 495.28363628070645, 495.29297992491547, 495.30232356912455, 495.33269041280397, 495.33502632385625, 495.3373622349085, 495.34670587911756];[22.260769230769228, 1035.824945054945, 654.903024030914, 122.50338002656682, 772.4715181741335, 286.35673396932737, 170.5208281608501, 344.76971211206376, 310.1179454172201, 369.02594879845424, 152.20489433643277, 25.230920661755825, 710.3458507426639, 599.7077099384131, 544.2648832266634, 381.6490923801473, 968.7490252384977, 447.4874491003502, 756.8782231614539, 409.86553097451986, 348.72991402004584, 523.4738232097571];[-8.717948717948723, 902.9792429792429, 498.00312779067355, 836.1882399245037, 367.0927618033845, 668.7654589339571, 577.4844214258134, 714.1833410111798, 61.635241166376694, 213.25081810063494, -1.81621173562566, 453.9210657745456, 491.1013908083505, 484.19965382602743, 54.28823083035537, 97.25710946223765, 184.97596014079528, 32.91510985283879, 339.48581387409223, 430.0989413516886, 828.1733195579349, 425.4235711378568]
[475.98901098901104, 514.2582417582418, 495.1247943291525, 495.1306345345535, 495.139978749123, 495.164504817041, 495.1656804733728, 495.1773556074008, 495.1878639275636, 495.1937165398704, 495.1948716607204, 495.2030618953696, 495.2030618953696, 495.2042153049295, 495.20655121598173, 495.22523850439984, 495.2287487875328, 495.2287487875328, 495.2310979618672, 495.24626170387023, 495.24626170387023, 495.24978867286563];[22.260769230769228, 1035.824945054945, 654.903024030914, 631.884350440768, 122.50338002656682, 772.4715181741335, 286.35673396932737, 170.5208281608501, 344.76971211206376, 564.3134053858229, 183.39148436179204, 53.69487187537736, 310.1179454172201, 529.9091513102281, 369.02594879845424, 152.20489433643277, 25.230920661755825, 124.235968361309, 32.161274000724546, 710.3458507426639, 599.7077099384131, 27.706046854244654];[-8.717948717948723, 902.9792429792429, 498.00312779067355, 784.9818042492035, 836.1882399245037, 367.0927618033845, 668.7654589339571, 577.4844214258134, 714.1833410111798, 276.03436097208987, 753.1630520349846, 392.69597964103457, 61.635241166376694, 456.59270589673514, 213.25081810063494, -1.81621173562566, 453.9210657745456, 465.4981729707004, 614.4421097827691, 491.1013908083505, 484.19965382602743, 498.6710378212209]
[475.98901098901104, 514.2582417582418, 495.1247943291525, 495.1247943291525, 495.1247943291525, 495.1247943291525, 495.1294661512571, 495.1306345345535, 495.1376444068752, 495.139978749123, 495.1563351178736, 495.164504817041, 495.1656804733728, 495.1656804733728, 495.1773556074008, 495.1831921054591, 495.18669982197025, 495.1878639275636, 495.1937165398704, 495.1948716607204, 495.2030618953696, 495.2030618953696];[22.260769230769228, 1035.824945054945, 984.3423202511773, 670.0012938050959, 654.903024030914, 401.9451271585557, 923.9492411544499, 631.884350440768, 378.92645356840956, 122.50338002656682, 343.03712377732154, 772.4715181741335, 286.35673396932737, 318.03834923318436, 170.5208281608501, 374.71873904117854, 743.5125417220141, 344.76971211206376, 564.3134053858229, 183.39148436179204, 53.69487187537736, 310.1179454172201];[-8.717948717948723, 902.9792429792429, 662.9769053358797, 614.21947310592, 498.00312779067355, 91.91382921785853, 655.8525316767075, 784.9818042492035, 226.16374535788455, 836.1882399245037, 611.7704696605795, 367.0927618033845, 668.7654589339571, 214.58663816172972, 577.4844214258134, 153.36155202821868, 383.7905125670693, 714.1833410111798, 276.03436097208987, 753.1630520349846, 392.69597964103457, 61.635241166376694]
[475.98901098901104, 514.2582417582418, 495.1247943291525, 495.1247943291525, 495.1247943291525, 495.1247943291525, 495.128299051376, 495.1294661512571, 495.1306345345535, 495.1318020623093, 495.1376444068752, 495.1388097954661, 495.139978749123, 495.139978749123, 495.1458175286229, 495.1469897623744, 495.1551611728319, 495.1563351178736, 495.164504817041, 495.1656804733728, 495.1656804733728, 495.1680113928313];[22.260769230769228, 1035.824945054945, 984.3423202511773, 670.0012938050959, 654.903024030914, 401.9451271585557, 622.9738961478081, 923.9492411544499, 631.884350440768, 924.6917790121965, 378.92645356840956, 357.1453430745079, 122.50338002656682, 161.36286124864145, 905.1382820915347, 771.481467697138, 709.1082876464194, 343.03712377732154, 772.4715181741335, 286.35673396932737, 318.03834923318436, 171.26336601859677];[-8.717948717948723, 902.9792429792429, 662.9769053358797, 614.21947310592, 498.00312779067355, 91.91382921785853, 272.4721741425038, 655.8525316767075, 784.9818042492035, 655.4072583230092, 226.16374535788455, 223.49210523569496, 836.1882399245037, 799.453188244397, 575.035417980473, 296.07166188851164, 139.1128047098743, 611.7704696605795, 367.0927618033845, 668.7654589339571, 214.58663816172972, 542.6857733755548]
[475.98901098901104, 514.2582417582418, 495.1247943291525, 495.1247943291525, 495.1247943291525, 495.1247943291525, 495.1247943291525, 495.128299051376, 495.128299051376, 495.128299051376, 495.1294661512571, 495.1294661512571, 495.1306345345535, 495.1318020623093, 495.1376444068752, 495.1388097954661, 495.1388097954661, 495.139978749123, 495.139978749123, 495.1458175286229, 495.1469897623744, 495.1469897623744];[22.260769230769228, 1035.824945054945, 984.3423202511773, 984.3423202511773, 670.0012938050959, 654.903024030914, 401.9451271585557, 544.7599084651612, 622.9738961478081, 548.9676229923922, 923.9492411544499, 475.9514003139717, 631.884350440768, 924.6917790121965, 378.92645356840956, 1002.1632288370969, 357.1453430745079, 122.50338002656682, 161.36286124864145, 905.1382820915347, 650.942822122932, 771.481467697138];[-8.717948717948723, 902.9792429792429, 662.9769053358797, 503.3464080350527, 614.21947310592, 498.00312779067355, 91.91382921785853, 849.1011671817532, 272.4721741425038, -0.9256650282291359, 655.8525316767075, 330.8029834769761, 784.9818042492035, 655.4072583230092, 226.16374535788455, 655.8525316767075, 223.49210523569496, 836.1882399245037, 799.453188244397, 575.035417980473, 780.75170738907, 296.07166188851164]
[475.98901098901104, 514.2582417582418, 479.518572588981, 480.78726517042963, 495.1247943291525, 495.1247943291525, 495.1247943291525, 495.1247943291525, 495.1247943291525, 495.1271302402048, 495.128299051376, 495.128299051376, 495.128299051376, 495.128299051376, 495.128299051376, 495.1294661512571, 495.1294661512571, 495.1294661512571, 495.1294661512571, 495.1294661512571, 495.1306345345535, 495.1306345345535];[22.260769230769228, 1035.824945054945, 323.2361142374109, 256.4077070402125, 984.3423202511773, 984.3423202511773, 670.0012938050959, 654.903024030914, 401.9451271585557, 376.6988399951696, 544.7599084651612, 937.0674099746406, 359.6204692669967, 622.9738961478081, 548.9676229923922, 923.9492411544499, 860.5860106267357, 510.60316700881526, 475.9514003139717, 534.8594036952059, 35.87396328945779, 631.884350440768];[-8.717948717948723, 902.9792429792429, 244.86522621321154, 528.2817158421553, 662.9769053358797, 503.3464080350527, 614.21947310592, 498.00312779067355, 91.91382921785853, 331.2482568306744, 849.1011671817532, 600.1933624644247, 438.1138617182573, 272.4721741425038, -0.9256650282291359, 655.8525316767075, 649.1734313712336, 602.1970925560669, 330.8029834769761, 257.11024343991375, 140.67126144781818, 784.9818042492035]
[475.98901098901104, 514.2582417582418, 479.518572588981, 480.78726517042963, 495.1247943291525, 495.1247943291525, 495.1247943291525, 495.1247943291525, 495.1247943291525, 495.1247943291525, 495.1247943291525, 495.1271302402048, 495.1271302402048, 495.128299051376, 495.128299051376, 495.128299051376, 495.128299051376, 495.128299051376, 495.128299051376, 495.128299051376, 495.128299051376, 495.128299051376];[22.260769230769228, 1035.824945054945, 323.2361142374109, 256.4077070402125, 984.3423202511773, 984.3423202511773, 670.0012938050959, 879.8919949281486, 654.903024030914, 432.884204564666, 401.9451271585557, 778.9068462746044, 376.6988399951696, 156.66012148291267, 544.7599084651612, 997.4604890713681, 937.0674099746406, 494.26733413838906, 740.7899029102764, 359.6204692669967, 622.9738961478081, 548.9676229923922];[-8.717948717948723, 902.9792429792429, 244.86522621321154, 528.2817158421553, 662.9769053358797, 503.3464080350527, 614.21947310592, 453.9210657745456, 498.00312779067355, 27.571829608459637, 91.91382921785853, 374.21713546255666, 331.2482568306744, 668.7654589339571, 849.1011671817532, 543.1983731910472, 600.1933624644247, 618.0042966123552, 168.27820937711047, 438.1138617182573, 272.4721741425038, -0.9256650282291359]
[475.98901098901104, 514.2582417582418, 476.75285390310114, 477.11725602725426, 479.2803096616501, 479.518572588981, 480.78726517042963, 495.1247943291525, 495.1247943291525, 495.1247943291525, 495.1247943291525, 495.1247943291525, 495.1247943291525, 495.1247943291525, 495.1247943291525, 495.1247943291525, 495.1247943291525, 495.1247943291525, 495.12596242726875, 495.1271302402048, 495.1271302402048, 495.1271302402048];[22.260769230769228, 1035.824945054945, 434.12176766091045, 783.1145608018355, 448.9725248158435, 323.2361142374109, 256.4077070402125, 984.3423202511773, 944.740301171356, 984.3423202511773, 390.8070592923559, 899.6930044680593, 670.0012938050959, 879.8919949281486, 654.903024030914, 701.682909068953, 432.884204564666, 401.9451271585557, 203.19249390170265, 782.3720229440887, 778.9068462746044, 376.6988399951696];[-8.717948717948723, 902.9792429792429, 589.5068019756663, 184.97596014079528, 309.8751358531578, 244.86522621321154, 528.2817158421553, 662.9769053358797, 652.5129815239704, 503.3464080350527, 566.7978609370551, 453.9210657745456, 614.21947310592, 453.9210657745456, 498.00312779067355, 104.82675647510811, 27.571829608459637, 91.91382921785853, 880.7155752943298, 588.6162552682699, 374.21713546255666, 331.2482568306744]
