55 ---- 5.0735073320009155e+19 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [-5.0, -3.571428571428571], [7.142857142857142, 10.0], [1.3, 1.6]]
56 ---- 5.8476787928311775e+19 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [-3.571428571428571, -2.142857142857143], [-10.0, -7.142857142857142], [1.3, 1.6]]
57 ---- 3.0612936466572874e+19 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [-3.571428571428571, -2.142857142857143], [-7.142857142857142, -4.285714285714286], [1.3, 1.6]]
58 ---- 7.796522010806606e+18 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [-3.571428571428571, -2.142857142857143], [-4.285714285714286, -1.4285714285714288], [1.3, 1.6]]
59 ---- 822433238125909.0 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [-3.571428571428571, -2.142857142857143], [-1.4285714285714288, 1.4285714285714288], [1.3, 1.6]]
60 ---- 3.5395472386291743e+18 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [-3.571428571428571, -2.142857142857143], [1.4285714285714288, 4.2857142857142865], [1.3, 1.6]]
61 ---- 2.757783271454101e+19 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [-3.571428571428571, -2.142857142857143], [4.2857142857142865, 7.142857142857142], [1.3, 1.6]]
62 ---- 3.859338408037187e+19 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [-3.571428571428571, -2.142857142857143], [7.142857142857142, 10.0], [1.3, 1.6]]
63 ---- 8.504231498654664e+19 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [-2.142857142857143, -0.7142857142857144], [-10.0, -7.142857142857142], [1.3, 1.6]]
64 ---- 1.3916979398668212e+19 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [-2.142857142857143, -0.7142857142857144], [-7.142857142857142, -4.285714285714286], [1.3, 1.6]]
65 ---- 1.9547150059769398e+18 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [-2.142857142857143, -0.7142857142857144], [-4.285714285714286, -1.4285714285714288], [1.3, 1.6]]
66 ---- 3.4087383808420612e+16 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [-2.142857142857143, -0.7142857142857144], [-1.4285714285714288, 1.4285714285714288], [1.3, 1.6]]
67 ---- 2.75723564547708e+18 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [-2.142857142857143, -0.7142857142857144], [1.4285714285714288, 4.2857142857142865], [1.3, 1.6]]
68 ---- 1.7571340980553406e+19 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [-2.142857142857143, -0.7142857142857144], [4.2857142857142865, 7.142857142857142], [1.3, 1.6]]
69 ---- 2.7995465186606105e+19 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [-2.142857142857143, -0.7142857142857144], [7.142857142857142, 10.0], [1.3, 1.6]]
70 ---- 8.286612703514396e+19 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [-0.7142857142857144, 0.7142857142857144], [-10.0, -7.142857142857142], [1.3, 1.6]]
71 ---- 2.3445295043532153e+19 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [-0.7142857142857144, 0.7142857142857144], [-7.142857142857142, -4.285714285714286], [1.3, 1.6]]
72 ---- 2.697956366792246e+18 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [-0.7142857142857144, 0.7142857142857144], [-4.285714285714286, -1.4285714285714288], [1.3, 1.6]]
73 ---- 2.6839833018238388e+16 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [-0.7142857142857144, 0.7142857142857144], [-1.4285714285714288, 1.4285714285714288], [1.3, 1.6]]
74 ---- 3.9379322756515584e+18 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [-0.7142857142857144, 0.7142857142857144], [1.4285714285714288, 4.2857142857142865], [1.3, 1.6]]
75 ---- 1.4101301640384578e+19 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [-0.7142857142857144, 0.7142857142857144], [4.2857142857142865, 7.142857142857142], [1.3, 1.6]]
76 ---- 1.0910675793863926e+20 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [-0.7142857142857144, 0.7142857142857144], [7.142857142857142, 10.0], [1.3, 1.6]]
77 ---- 6.938075592215513e+19 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [0.7142857142857144, 2.1428571428571432], [-10.0, -7.142857142857142], [1.3, 1.6]]
78 ---- 1.367227287294588e+19 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [0.7142857142857144, 2.1428571428571432], [-7.142857142857142, -4.285714285714286], [1.3, 1.6]]
79 ---- 1.408879799903287e+18 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [0.7142857142857144, 2.1428571428571432], [-4.285714285714286, -1.4285714285714288], [1.3, 1.6]]
80 ---- 3349611114226419.5 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [0.7142857142857144, 2.1428571428571432], [-1.4285714285714288, 1.4285714285714288], [1.3, 1.6]]
81 ---- 5.713781555698009e+18 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [0.7142857142857144, 2.1428571428571432], [1.4285714285714288, 4.2857142857142865], [1.3, 1.6]]
82 ---- 2.6361635672715657e+19 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [0.7142857142857144, 2.1428571428571432], [4.2857142857142865, 7.142857142857142], [1.3, 1.6]]
