57 ---- 2.1222753898712505e+28 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [-7.142857142857142, -4.285714285714286], [0.7142857142857143, 1.4285714285714286]]
58 ---- 4.280529237349839e+25 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [-7.142857142857142, -4.285714285714286], [1.4285714285714286, 2.142857142857143]]
59 ---- 2.4934515132604076e+23 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [-7.142857142857142, -4.285714285714286], [2.142857142857143, 2.857142857142857]]
60 ---- 1.9394405756245983e+20 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [-7.142857142857142, -4.285714285714286], [2.857142857142857, 3.5714285714285716]]
61 ---- 8.821155774524554e+17 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [-7.142857142857142, -4.285714285714286], [3.5714285714285716, 4.285714285714286]]
62 ---- 930271518527637.9 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [-7.142857142857142, -4.285714285714286], [4.285714285714286, 5.0]]
63 ---- 8.843183624542861e+29 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [-4.285714285714286, -1.4285714285714288], [0.0, 0.7142857142857143]]
64 ---- 1.2995911530009898e+28 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [-4.285714285714286, -1.4285714285714288], [0.7142857142857143, 1.4285714285714286]]
65 ---- 3.706874390951172e+25 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [-4.285714285714286, -1.4285714285714288], [1.4285714285714286, 2.142857142857143]]
66 ---- 3.5469512381496333e+22 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [-4.285714285714286, -1.4285714285714288], [2.142857142857143, 2.857142857142857]]
67 ---- 8.526840866069953e+19 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [-4.285714285714286, -1.4285714285714288], [2.857142857142857, 3.5714285714285716]]
68 ---- 1.4415381469520582e+17 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [-4.285714285714286, -1.4285714285714288], [3.5714285714285716, 4.285714285714286]]
69 ---- 372518176739434.7 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [-4.285714285714286, -1.4285714285714288], [4.285714285714286, 5.0]]
70 ---- 8.777564495158374e+23 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [-1.4285714285714288, 1.4285714285714288], [0.0, 0.7142857142857143]]
71 ---- 3.30453299348069e+26 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [-1.4285714285714288, 1.4285714285714288], [0.7142857142857143, 1.4285714285714286]]
72 ---- 8.440413266061884e+21 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [-1.4285714285714288, 1.4285714285714288], [1.4285714285714286, 2.142857142857143]]
73 ---- 4.747070769989973e+20 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [-1.4285714285714288, 1.4285714285714288], [2.142857142857143, 2.857142857142857]]
