15 ---- 218.93161822895146 ---- [[0.0, 3.3333333333333335], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333]]
15 ---- 39.33153486453685 ---- [[0.0, 3.3333333333333335], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334]]
16 ---- 129.82854150880993 ---- [[0.0, 3.3333333333333335], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333], [3.333333333333334, 10.0], [-10.0, -3.333333333333333]]
16 ---- 47.73212886344054 ---- [[0.0, 3.3333333333333335], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333], [3.333333333333334, 10.0], [3.333333333333334, 10.0]]
16 ---- 197.8671502065705 ---- [[0.0, 3.3333333333333335], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333]]
16 ---- 35.51595167015423 ---- [[0.0, 3.3333333333333335], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333], [3.333333333333334, 10.0], [-3.333333333333333, 3.333333333333334]]
17 ---- 66.461611545808 ---- [[0.0, 3.3333333333333335], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334]]
18 ---- 144.76434354614472 ---- [[0.0, 3.3333333333333335], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333]]
19 ---- 75.35280927042542 ---- [[0.0, 3.3333333333333335], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0], [-10.0, -3.333333333333333], [3.333333333333334, 10.0]]
19 ---- 25.88400728915691 ---- [[0.0, 3.3333333333333335], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333], [3.333333333333334, 10.0]]
20 ---- 235.6359168971423 ---- [[0.0, 3.3333333333333335], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333]]
20 ---- 38.9282209912968 ---- [[0.0, 3.3333333333333335], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0], [3.333333333333334, 10.0]]
21 ---- 83.75828612372894 ---- [[0.0, 3.3333333333333335], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0], [-10.0, -3.333333333333333]]
21 ---- 22.906234116576886 ---- [[0.0, 3.3333333333333335], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334]]
22 ---- 145.40996277818522 ---- [[0.0, 3.3333333333333335], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333]]
22 ---- 28.35632936565643 ---- [[0.0, 3.3333333333333335], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0]]
23 ---- 28.350814009721965 ---- [[0.0, 3.3333333333333335], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334]]
24 ---- 85.16818836976157 ---- [[0.0, 3.3333333333333335], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0], [3.333333333333334, 10.0], [-10.0, -3.333333333333333]]
24 ---- 32.49333520318858 ---- [[0.0, 3.3333333333333335], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334]]
24 ---- 37.582738491293945 ---- [[0.0, 3.3333333333333335], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0], [-3.333333333333333, 3.333333333333334]]
25 ---- 47.89440320553311 ---- [[0.0, 3.3333333333333335], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0]]
25 ---- 48.73946296733098 ---- [[0.0, 3.3333333333333335], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0], [3.333333333333334, 10.0], [-3.333333333333333, 3.333333333333334]]
26 ---- 237.97862320806317 ---- [[0.0, 3.3333333333333335], [3.333333333333334, 10.0], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333]]
26 ---- 52.38753029660386 ---- [[0.0, 3.3333333333333335], [3.333333333333334, 10.0], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333], [3.333333333333334, 10.0]]
27 ---- 89.77071378525156 ---- [[0.0, 3.3333333333333335], [3.333333333333334, 10.0], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0]]
27 ---- 50.14681262467624 ---- [[0.0, 3.3333333333333335], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0], [3.333333333333334, 10.0], [3.333333333333334, 10.0]]
27 ---- 232.38203898622353 ---- [[0.0, 3.3333333333333335], [3.333333333333334, 10.0], [-10.0, -3.333333333333333], [3.333333333333334, 10.0], [-10.0, -3.333333333333333]]
28 ---- 105.1529434284305 ---- [[0.0, 3.3333333333333335], [3.333333333333334, 10.0], [-10.0, -3.333333333333333], [3.333333333333334, 10.0], [-3.333333333333333, 3.333333333333334]]
28 ---- 189.29193601055846 ---- [[0.0, 3.3333333333333335], [3.333333333333334, 10.0], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333]]
28 ---- 85.13349829054727 ---- [[0.0, 3.3333333333333335], [3.333333333333334, 10.0], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334]]
29 ---- 148.91393259760068 ---- [[0.0, 3.3333333333333335], [3.333333333333334, 10.0], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334]]
30 ---- 101.47467866621815 ---- [[0.0, 3.3333333333333335], [3.333333333333334, 10.0], [-10.0, -3.333333333333333], [3.333333333333334, 10.0], [3.333333333333334, 10.0]]
30 ---- 56.701510993566174 ---- [[0.0, 3.3333333333333335], [3.333333333333334, 10.0], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334]]
