68 ---- 3460.03588518194 ---- [[2.0408163265306123, 4.081632653061225], [29.59183673469387, 35.71428571428571], [-1.0204081632653095, 5.102040816326527]]
69 ---- 3066.063641678812 ---- [[2.0408163265306123, 4.081632653061225], [29.59183673469387, 35.71428571428571], [5.102040816326527, 11.224489795918362]]
69 ---- 2391.6061223460574 ---- [[2.0408163265306123, 4.081632653061225], [29.59183673469387, 35.71428571428571], [17.3469387755102, 23.469387755102037]]
70 ---- 2805.375543342052 ---- [[2.0408163265306123, 4.081632653061225], [29.59183673469387, 35.71428571428571], [11.224489795918362, 17.3469387755102]]
71 ---- 1987.2750477089212 ---- [[2.0408163265306123, 4.081632653061225], [29.59183673469387, 35.71428571428571], [23.469387755102037, 29.59183673469387]]
71 ---- 1649.1446918185077 ---- [[2.0408163265306123, 4.081632653061225], [29.59183673469387, 35.71428571428571], [29.59183673469387, 35.71428571428571]]
72 ---- 433.974053304099 ---- [[4.081632653061225, 6.122448979591837], [-7.142857142857146, -1.0204081632653095], [-7.142857142857146, -1.0204081632653095]]
73 ---- 2114.5426291245444 ---- [[4.081632653061225, 6.122448979591837], [-7.142857142857146, -1.0204081632653095], [5.102040816326527, 11.224489795918362]]
74 ---- 2837.2581976369725 ---- [[4.081632653061225, 6.122448979591837], [-7.142857142857146, -1.0204081632653095], [11.224489795918362, 17.3469387755102]]
73 ---- 1021.1687695351817 ---- [[4.081632653061225, 6.122448979591837], [-7.142857142857146, -1.0204081632653095], [-1.0204081632653095, 5.102040816326527]]
74 ---- 4396.956578338923 ---- [[4.081632653061225, 6.122448979591837], [-7.142857142857146, -1.0204081632653095], [17.3469387755102, 23.469387755102037]]
74 ---- 5783.396556074806 ---- [[4.081632653061225, 6.122448979591837], [-7.142857142857146, -1.0204081632653095], [23.469387755102037, 29.59183673469387]]
75 ---- 7464.93498751906 ---- [[4.081632653061225, 6.122448979591837], [-7.142857142857146, -1.0204081632653095], [29.59183673469387, 35.71428571428571]]
76 ---- 133.72906807755 ---- [[4.081632653061225, 6.122448979591837], [-1.0204081632653095, 5.102040816326527], [-7.142857142857146, -1.0204081632653095]]
76 ---- 154.95394595971445 ---- [[4.081632653061225, 6.122448979591837], [-1.0204081632653095, 5.102040816326527], [-1.0204081632653095, 5.102040816326527]]
77 ---- 452.5427068321387 ---- [[4.081632653061225, 6.122448979591837], [-1.0204081632653095, 5.102040816326527], [5.102040816326527, 11.224489795918362]]
77 ---- 840.7648576732472 ---- [[4.081632653061225, 6.122448979591837], [-1.0204081632653095, 5.102040816326527], [11.224489795918362, 17.3469387755102]]
78 ---- 2624.0977445448093 ---- [[4.081632653061225, 6.122448979591837], [-1.0204081632653095, 5.102040816326527], [23.469387755102037, 29.59183673469387]]
79 ---- 1525.105586592878 ---- [[4.081632653061225, 6.122448979591837], [-1.0204081632653095, 5.102040816326527], [17.3469387755102, 23.469387755102037]]
79 ---- 3816.458951562146 ---- [[4.081632653061225, 6.122448979591837], [-1.0204081632653095, 5.102040816326527], [29.59183673469387, 35.71428571428571]]
80 ---- 119.02453224114399 ---- [[4.081632653061225, 6.122448979591837], [5.102040816326527, 11.224489795918362], [-1.0204081632653095, 5.102040816326527]]
81 ---- 138.11506232479704 ---- [[4.081632653061225, 6.122448979591837], [5.102040816326527, 11.224489795918362], [-7.142857142857146, -1.0204081632653095]]
82 ---- 110.58510807937634 ---- [[4.081632653061225, 6.122448979591837], [5.102040816326527, 11.224489795918362], [5.102040816326527, 11.224489795918362]]
83 ---- 106.76507988118111 ---- [[4.081632653061225, 6.122448979591837], [5.102040816326527, 11.224489795918362], [11.224489795918362, 17.3469387755102]]
84 ---- 199.98203300860706 ---- [[4.081632653061225, 6.122448979591837], [5.102040816326527, 11.224489795918362], [17.3469387755102, 23.469387755102037]]
85 ---- 546.8602068356761 ---- [[4.081632653061225, 6.122448979591837], [5.102040816326527, 11.224489795918362], [23.469387755102037, 29.59183673469387]]
86 ---- 1273.3306725826883 ---- [[4.081632653061225, 6.122448979591837], [5.102040816326527, 11.224489795918362], [29.59183673469387, 35.71428571428571]]
87 ---- 157.68615412103279 ---- [[4.081632653061225, 6.122448979591837], [11.224489795918362, 17.3469387755102], [-1.0204081632653095, 5.102040816326527]]
87 ---- 1050.5344206528773 ---- [[4.081632653061225, 6.122448979591837], [11.224489795918362, 17.3469387755102], [-7.142857142857146, -1.0204081632653095]]
87 ---- 107.15462317472598 ---- [[4.081632653061225, 6.122448979591837], [11.224489795918362, 17.3469387755102], [11.224489795918362, 17.3469387755102]]
88 ---- 119.77820753220932 ---- [[4.081632653061225, 6.122448979591837], [11.224489795918362, 17.3469387755102], [5.102040816326527, 11.224489795918362]]
88 ---- 111.73096730527627 ---- [[4.081632653061225, 6.122448979591837], [11.224489795918362, 17.3469387755102], [23.469387755102037, 29.59183673469387]]
89 ---- 108.44774897296512 ---- [[4.081632653061225, 6.122448979591837], [11.224489795918362, 17.3469387755102], [17.3469387755102, 23.469387755102037]]
90 ---- 136.99415059236216 ---- [[4.081632653061225, 6.122448979591837], [11.224489795918362, 17.3469387755102], [29.59183673469387, 35.71428571428571]]
90 ---- 3720.3514237056925 ---- [[4.081632653061225, 6.122448979591837], [17.3469387755102, 23.469387755102037], [-7.142857142857146, -1.0204081632653095]]
91 ---- 2399.105439032031 ---- [[4.081632653061225, 6.122448979591837], [17.3469387755102, 23.469387755102037], [-1.0204081632653095, 5.102040816326527]]
