 ----------------- 2022-08-02 15:32:01 ----------------- 3659453.2800455196 [[0.0, 1000.0], [5.0, 10.0], [-1000.0, 0.0], [-1000.0, 0.0], [2.0, 4.0]]
 ----------------- 2022-08-02 15:32:02 ----------------- 1.367520920643125 [[0.0, 1000.0], [5.0, 10.0], [-1000.0, 0.0], [0.0, 1000.0], [0.0, 2.0]]
 ----------------- 2022-08-02 15:32:04 ----------------- 890605.0991290194 [[0.0, 1000.0], [5.0, 10.0], [-1000.0, 0.0], [0.0, 1000.0], [2.0, 4.0]]
 ----------------- 2022-08-02 15:32:05 ----------------- 0.4833881325812098 [[0.0, 1000.0], [5.0, 10.0], [0.0, 1000.0], [-1000.0, 0.0], [0.0, 2.0]]
 ----------------- 2022-08-02 15:32:06 ----------------- 5550.94104634235 [[0.0, 1000.0], [5.0, 10.0], [0.0, 1000.0], [-1000.0, 0.0], [2.0, 4.0]]
 ----------------- 2022-08-02 15:32:08 ----------------- 2.5846225251440162 [[0.0, 1000.0], [5.0, 10.0], [0.0, 1000.0], [0.0, 1000.0], [0.0, 2.0]]
 ----------------- 2022-08-02 15:32:09 ----------------- 82706.63273609841 [[0.0, 1000.0], [5.0, 10.0], [0.0, 1000.0], [0.0, 1000.0], [2.0, 4.0]]
 ----------------- 2022-08-02 15:35:05 ----------------- 5.661879562530037 [[-1000.0, 0.0], [0.0, 5.0], [-1000.0, 0.0], [-1000.0, 0.0], [0.0, 2.0]]
 ----------------- 2022-08-02 15:35:07 ----------------- 4382.151165988045 [[-1000.0, 0.0], [0.0, 5.0], [-1000.0, 0.0], [-1000.0, 0.0], [2.0, 4.0]]
 ----------------- 2022-08-02 15:35:08 ----------------- 58.884286875201795 [[-1000.0, 0.0], [0.0, 5.0], [-1000.0, 0.0], [0.0, 1000.0], [0.0, 2.0]]
 ----------------- 2022-08-02 15:35:09 ----------------- 311.5488928668923 [[-1000.0, 0.0], [0.0, 5.0], [-1000.0, 0.0], [0.0, 1000.0], [2.0, 4.0]]
 ----------------- 2022-08-02 15:35:10 ----------------- 10.355380560779562 [[-1000.0, 0.0], [0.0, 5.0], [0.0, 1000.0], [-1000.0, 0.0], [0.0, 2.0]]
 ----------------- 2022-08-02 15:35:12 ----------------- 3324.2891285950222 [[-1000.0, 0.0], [0.0, 5.0], [0.0, 1000.0], [-1000.0, 0.0], [2.0, 4.0]]
 ----------------- 2022-08-02 15:35:13 ----------------- 9.757520146622063 [[-1000.0, 0.0], [0.0, 5.0], [0.0, 1000.0], [0.0, 1000.0], [0.0, 2.0]]
 ----------------- 2022-08-02 15:35:14 ----------------- 25083.001028960924 [[-1000.0, 0.0], [0.0, 5.0], [0.0, 1000.0], [0.0, 1000.0], [2.0, 4.0]]
 ----------------- 2022-08-02 15:35:15 ----------------- 0.48771932311035476 [[-1000.0, 0.0], [5.0, 10.0], [-1000.0, 0.0], [-1000.0, 0.0], [0.0, 2.0]]
